name,latitude,longitude
Jurong East MRT,1.3331336,103.7422884
Bukit Batok MRT,1.3488659,103.7494041
Bukit Gombak MRT,1.3593155,103.7519725
Choa Chu Kang MRT,1.3851009,103.7444056
Yew Tee MRT,1.3973811,103.7475
Kranji MRT,1.4251684,103.7619192
Marsiling MRT,1.4325197,103.774119
Woodlands MRT,1.4369741,103.7866134
Admiralty MRT,1.4405801,103.8006712
Sembawang MRT,1.4491259,103.8200605
Yishun MRT,1.4293251,103.834899
Khatib MRT,1.4173489,103.8330221
Yio Chu Kang MRT,1.3817576,103.8448008
Ang Mo Kio MRT,1.3699718,103.8495876
Bishan MRT,1.3507054,103.8481618
Braddell MRT,1.3406882,103.8471859
Toa Payoh MRT,1.3333083,103.8465193
Novena MRT,1.3206882,103.8443764
Newton MRT,1.3124103,103.8379586
Orchard MRT,1.3045879,103.8319307
Somerset MRT,1.3005915,103.838529
Dhoby Ghaut MRT,1.2985098,103.8459595
City Hall MRT,1.2931857,103.8524604
Raffles Place MRT,1.2841334,103.8515534
Marina Bay MRT,1.2761,103.85467
Marina South Pier MRT,1.2713951,103.8636337
Pasir Ris MRT,1.373104,103.9494346
Tampines MRT,1.353092,103.945229
Simei MRT,1.343089,103.9535069
Tanah Merah MRT,1.3272329,103.9465415
Bedok MRT,1.3240113,103.9301725
Kembangan MRT,1.3210276,103.9129091
Eunos MRT,1.3197777,103.9028587
Paya Lebar MRT,1.318549,103.892267
Aljunied MRT,1.3164311,103.8829523
Kallang MRT,1.3115239,103.8716322
Lavender MRT,1.3075056,103.8631963
Bugis MRT,1.3008094,103.8560048
Tanjong Pagar MRT,1.2764124,103.8468644
Outram Park MRT,1.2790448,103.838635
Tiong Bahru MRT,1.2862197,103.8270343
Redhill MRT,1.2896276,103.8167623
Queenstown MRT,1.2953659,103.8058787
Commonwealth MRT,1.3024476,103.7982907
Buona Vista MRT,1.3073006,103.7900481
Dover MRT,1.311322,103.7786532
Clementi MRT,1.315194,103.7647922
Chinese Garden MRT,1.3423757,103.7325809
Lakeside MRT,1.3442374,103.7207253
Boon Lay MRT,1.3385611,103.7055433
Pioneer MRT,1.3373099,103.6969387
Joo Koon MRT,1.3277399,103.6784799
Expo MRT,1.3352467,103.9619976
Changi Airport MRT,1.357371,103.988836
HarbourFront MRT,1.2659729,103.8205054
Chinatown MRT,1.2837749,103.8437092
Clarke Quay MRT,1.2886199,103.84711
Little India MRT,1.3063148,103.8496598
Farrer Park MRT,1.3124557,103.8548207
Boon Keng MRT,1.3200263,103.8616225
Potong Pasir MRT,1.3312721,103.8690727
Woodleigh MRT,1.3392155,103.870748
Serangoon MRT,1.3508122,103.8729096
Kovan MRT,1.3600419,103.8852899
Hougang MRT,1.3711282,103.8924668
Buangkok MRT,1.3831042,103.8928085
Sengkang MRT,1.3915277,103.8954161
Punggol MRT,1.4050922,103.9024659
Bras Basah MRT,1.2976027,103.8503618
Esplanade MRT,1.293436,103.855381
Promenade MRT,1.292615,103.8608556
Nicoll Highway MRT,1.2998349,103.8639099
Farrer Road MRT,1.3175686,103.8073765
Stadium MRT,1.3025081,103.8746245
Mountbatten MRT,1.3061938,103.882547
Dakota MRT,1.3083673,103.8886799
MacPherson MRT,1.326745,103.889867
Tai Seng MRT,1.3358521,103.8876305
Bartley MRT,1.3428936,103.8796046
Lorong Chuan MRT,1.3515697,103.8638742
Marymount MRT,1.3490952,103.8391446
Caldecott MRT,1.3376585,103.8395412
Botanic Gardens MRT,1.3221678,103.8147417
Holland Village MRT,1.3111578,103.7961073
one-north MRT,1.299915,103.7874862
Kent Ridge MRT,1.2924717,103.7848244
Haw Par Villa MRT,1.2831164,103.7819043
Pasir Panjang MRT,1.2760545,103.7919952
Labrador Park MRT,1.2722617,103.8027176
Telok Blangah MRT,1.2707241,103.8097936
Bayfront MRT,1.2813448,103.8589484
Bukit Panjang MRT,1.3781015,103.7634396
Cashew MRT,1.3699218,103.7645493
Hillview MRT,1.362133,103.766979
Beauty World MRT,1.341708,103.7757123
King Albert Park MRT,1.3357424,103.7831675
Sixth Avenue MRT,1.3310486,103.7966819
Tan Kah Kee MRT,1.3253631,103.8077988
Stevens MRT,1.3199655,103.825879
Rochor MRT,1.303764,103.852581
Downtown MRT,1.2794857,103.8528438
Telok Ayer MRT,1.2822806,103.8483128